Nome;Cenario;Capacidade mínima;Capacidade máxima;Capacidade Instalada Projetada;LCOE;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24;G_periodo25;G_periodo26;G_periodo27;G_periodo28;G_periodo29;G_periodo30;G_periodo31;G_periodo32;G_periodo33;G_periodo34;G_periodo35;G_periodo36;G_periodo37;G_periodo38;G_periodo39;G_periodo40;G_periodo41;G_periodo42;G_periodo43;G_periodo44;G_periodo45;G_periodo46;G_periodo47;G_periodo48
Biomassa;1;1050,0;3500,0;3500,0;707529,5;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359;1508,7359
Solar Nordeste;1;5600,0;11200,0;5600,0;594907,53;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1532,437;1532,437;1532,437;1532,437;1532,437;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;0,0;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1992,4295;1532,437;1532,437;1532,437;1532,437;1532,437;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917;1096,6917
Solar Sudeste;1;1400,0;2800,0;1400,0;594907,53;518,7194;518,7194;518,7194;518,7194;518,7194;518,7194;518,7194;518,7194;377,86881;377,86881;377,86881;377,86881;377,86881;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;0,0;518,7194;518,7194;518,7194;518,7194;518,7194;518,7194;518,7194;377,86881;377,86881;377,86881;377,86881;377,86881;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809;245,04809
Solar Nordeste DESCONTO;1;0,0;99999,0;0,0;431165,28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Solar Sudeste DESCONTO;1;0,0;99999,0;4458,4769;431165,28;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1203,3709;1203,3709;1203,3709;1203,3709;1203,3709;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;0,0;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1651,9275;1203,3709;1203,3709;1203,3709;1203,3709;1203,3709;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661;780,38661
EOL Sul;1;0,0;0,0;0,0;790665,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EOL Nordeste;1;0,0;21000,0;21000,0;790665,88;11164,047;11164,047;11164,047;11164,047;11164,047;11164,047;11164,047;11164,047;11478,887;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;6797,3078;11164,047;11164,047;11164,047;11164,047;11164,047;11164,047;11164,047;11478,887;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09;11157,09
Biogás;1;0,0;210,0;210,0;1613253,85;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0;210,0
EOL Offshore SE;1;0,0;99999,0;0,0;1798765,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EOL Offshore S;1;0,0;99999,0;0,0;1798765,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EOL Offshore NE;1;0,0;99999,0;0,0;1798765,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EOL Offshore N;1;0,0;99999,0;0,0;1798765,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
